STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,Reference area,UNIT_MEASURE,Unit of measure,FREQ,Frequency,TIME_PERIOD,Time Period,OBS_VALUE,Observation value,SOURCE,Source
DATAFLOW,PT:MILLED_RICE(1.0),Milled rice,I,ASIKHM019,Stung Treng,TONES,Tones,A,Annual,2016,,41645,,MAFF_Agricultural Statistics_2016,
DATAFLOW,PT:MILLED_RICE(1.0),Milled rice,I,ASIKHM019,Stung Treng,TONES,Tones,A,Annual,2017,,43844,,MAFF_Agricultural Statistics_2017,
DATAFLOW,PT:MILLED_RICE(1.0),Milled rice,I,ASIKHM013,Preah Vihear,TONES,Tones,A,Annual,2014,,119020,,MAFF_Agricultural Statistics_2014,
DATAFLOW,PT:MILLED_RICE(1.0),Milled rice,I,ASIKHM013,Preah Vihear,TONES,Tones,A,Annual,2015,,116540,,MAFF_Agricultural Statistics_2015,
DATAFLOW,PT:MILLED_RICE(1.0),Milled rice,I,ASIKHM013,Preah Vihear,TONES,Tones,A,Annual,2016,,127740,,MAFF_Agricultural Statistics_2016,
DATAFLOW,PT:MILLED_RICE(1.0),Milled rice,I,ASIKHM013,Preah Vihear,TONES,Tones,A,Annual,2017,,134521,,MAFF_Agricultural Statistics_2017,
DATAFLOW,PT:MILLED_RICE(1.0),Milled rice,I,ASIKHM014,Prey Veng,TONES,Tones,A,Annual,2014,,702075,,MAFF_Agricultural Statistics_2014,
DATAFLOW,PT:MILLED_RICE(1.0),Milled rice,I,ASIKHM014,Prey Veng,TONES,Tones,A,Annual,2015,,700201,,MAFF_Agricultural Statistics_2015,
DATAFLOW,PT:MILLED_RICE(1.0),Milled rice,I,ASIKHM014,Prey Veng,TONES,Tones,A,Annual,2016,,705146,,MAFF_Agricultural Statistics_2016,
DATAFLOW,PT:MILLED_RICE(1.0),Milled rice,I,ASIKHM014,Prey Veng,TONES,Tones,A,Annual,2017,,700250,,MAFF_Agricultural Statistics_2017,
DATAFLOW,PT:MILLED_RICE(1.0),Milled rice,I,ASIKHM018,Preah Sihanouk,TONES,Tones,A,Annual,2014,,27074,,MAFF_Agricultural Statistics_2014,
DATAFLOW,PT:MILLED_RICE(1.0),Milled rice,I,ASIKHM018,Preah Sihanouk,TONES,Tones,A,Annual,2015,,26106,,MAFF_Agricultural Statistics_2015,
DATAFLOW,PT:MILLED_RICE(1.0),Milled rice,I,ASIKHM018,Preah Sihanouk,TONES,Tones,A,Annual,2016,,25439,,MAFF_Agricultural Statistics_2016,
DATAFLOW,PT:MILLED_RICE(1.0),Milled rice,I,ASIKHM018,Preah Sihanouk,TONES,Tones,A,Annual,2017,,26464,,MAFF_Agricultural Statistics_2017,
